zip_code,landsqmi,watersqmi,cen10pop,lat,long
00985,8.14,0.29,36553,18.408588,-65.946933
00987,24.82,0.17,63661,18.338161,-65.941083
01001,11.44,0.86,16769,42.062332,-72.628274
01002,55.04,1.65,29049,42.363977,-72.458507
01003,0.71,0,10372,42.389941,-72.524108
01005,44.24,0.26,5079,42.418848,-72.106598
01007,52.64,2.68,14649,42.27901,-72.400468
01008,53.8,1.96,1263,42.191846,-72.957325
01009,0.8,0,741,42.211969,-72.341433
01010,34.74,0.55,3609,42.129477,-72.205302
01011,31.62,0.13,1370,42.300281,-72.968716
01012,13.12,0.21,661,42.375425,-72.858192
01013,5.62,0.67,23188,42.154904,-72.602804
01020,12.47,0.45,29668,42.172698,-72.561835
01022,4.76,0,2451,42.197741,-72.542713
01026,24,0.13,946,42.465494,-72.918267
01027,40.5,0.46,17660,42.295008,-72.751877
01028,13.01,0.07,15720,42.059614,-72.501234
01029,15.85,2.05,789,42.193394,-73.044647
01030,11.87,0.18,11669,42.072925,-72.686971
01031,8.09,0,1308,42.329397,-72.19819
01032,11.77,0.34,570,42.457613,-72.81478
01033,27.83,0.26,6227,42.244959,-72.500034
01034,71.53,1.94,2021,42.098207,-72.961272
01035,23.09,1.52,5250,42.356482,-72.568576
01036,19.51,0.04,5109,42.062946,-72.417297
01037,13.28,0.09,838,42.367961,-72.18871
01038,10,0.87,2545,42.385496,-72.606929
01039,13.21,0.23,1336,42.404278,-72.688922
01040,21.28,1.55,39880,42.211656,-72.642448
01050,38.33,1,2530,42.28675,-72.869693
01053,5.13,0.1,1685,42.356301,-72.713584
01054,22.81,0.16,1851,42.469588,-72.484502
01056,27.2,1.1,21103,42.188865,-72.459079
01057,44.91,0.62,8534,42.093596,-72.321494
01060,10.92,1.26,15284,42.321488,-72.630588
01062,18.15,0.15,11150,42.328314,-72.703923
01063,0.04,0,430,42.318882,-72.63853
01066,0.71,0.05,64,42.406903,-72.655018
01068,20.83,0.39,1902,42.350862,-72.044248
01069,28.07,0.3,8469,42.187794,-72.308469
01070,20.54,0.23,629,42.518446,-72.919017
01071,15.58,0.31,1596,42.16006,-72.873853
01072,20.09,0.52,1478,42.456968,-72.417244
01073,28.15,0.8,5792,42.226948,-72.741588
01074,0.09,0.02,319,42.387603,-72.09323
01075,17.72,0.68,17527,42.256346,-72.580763
01077,30.82,0.83,9502,42.05257,-72.777353
01079,1.13,0.04,692,42.197424,-72.32702
01080,1.73,0.1,2334,42.182218,-72.365654
01081,14.5,0.22,1698,42.061313,-72.234411
01082,46.1,6.25,10322,42.293533,-72.278599
01083,15.78,0.06,2888,42.203642,-72.194599
01084,9.2,0.09,176,42.39237,-72.882235
01085,59.95,1.14,41117,42.153503,-72.771602
01086,0.04,0,687,42.130446,-72.793967
01088,5.2,0.01,670,42.391709,-72.646494
01089,16.71,0.81,28391,42.125451,-72.649734
01092,6.7,0.03,1394,42.191868,-72.235107
01093,5.04,0.01,325,42.435121,-72.654963
01094,1.14,0.07,351,42.359108,-72.1368
01095,22.61,0.22,14319,42.127327,-72.427404
01096,31.68,0.21,2217,42.39714,-72.763572
01097,1.71,0.08,111,42.178038,-72.832611
01098,31.35,0.15,1101,42.394315,-72.943115
01103,0.46,0.08,2479,42.104106,-72.592028
01104,5.22,0.08,22865,42.134009,-72.565378
01105,1.24,0.12,12350,42.095207,-72.577579
01106,9.3,0.51,16021,42.047565,-72.57113
01107,1.51,0.03,11611,42.12106,-72.607068
01108,3.72,0.16,26688,42.080692,-72.560791
01109,5.44,0.19,30250,42.119674,-72.549726
01118,3.6,0.1,14071,42.093732,-72.525905
01119,3.55,0.09,14152,42.124978,-72.51121
01128,1.12,0,2631,42.092296,-72.489135
01129,3.42,0.09,7019,42.119062,-72.487402
01151,2.37,0.18,8698,42.15186,-72.509131
01199,0.01,0,0,42.120563,-72.604468
01201,52.92,2.61,46504,42.448236,-73.273727
01220,24.59,0.08,8603,42.623799,-73.116737
01222,3.31,0.13,829,42.058703,-73.322175
01223,69.75,2.04,2314,42.312225,-73.110124
01224,0.28,0.03,182,42.513356,-73.195594
01225,25.11,0.7,3117,42.563363,-73.153566
01226,26.38,0.14,6945,42.481119,-73.135073
01229,0.73,0,95,42.276339,-73.335896
01230,91.52,1.75,8430,42.172941,-73.324463
01235,45.64,1.08,2766,42.43062,-73.064073
01236,4.8,0.06,1509,42.266496,-73.378393
01237,61.82,0.44,2496,42.547818,-73.268033
01238,34.83,1.04,6047,42.297501,-73.230148
01240,21.38,0.45,4534,42.367861,-73.269768
01242,0.5,0.01,476,42.333734,-73.249199
01243,18.65,0.02,334,42.350122,-73.024112
01244,2.45,0.03,151,42.118094,-73.257497
01245,27.98,0.79,985,42.186893,-73.223105
01247,52.52,0.57,16087,42.698437,-73.08409
01253,18.27,0.4,731,42.206682,-73.113214
01254,14.56,0.06,972,42.382019,-73.365492
01255,51.81,1.18,915,42.107496,-73.118607
01256,35.85,0.17,692,42.594166,-73.022319
01257,36.24,0.86,2121,42.085245,-73.367482
01258,25.81,0.15,374,42.10928,-73.462886
01259,25.33,0.79,635,42.075469,-73.234376
01260,2.51,0.04,240,42.295696,-73.342543
01262,12.03,0.82,1238,42.292202,-73.319209
01264,11.36,0.03,137,42.23159,-73.202428
01266,26.05,0.3,1463,42.312338,-73.387824
01267,54.55,0.13,7989,42.671616,-73.246981
01270,31.86,0.16,778,42.515272,-73.031166
01301,25.49,0.54,17700,42.626761,-72.60153
01330,33.33,0.24,1506,42.513947,-72.821517
01331,53.22,1.38,13263,42.562408,-72.19108
01337,37.22,0.06,2596,42.689307,-72.582249
01338,3.45,0,187,42.572652,-72.824428
01339,54.98,0.24,1438,42.603776,-72.889644
01340,44.18,0.25,1701,42.694726,-72.711079
01341,35.69,0.18,1833,42.496937,-72.709414
01342,17.83,0.85,1492,42.543889,-72.609458
01343,4.87,0.03,75,42.657625,-72.978931
01344,13.63,0.52,1498,42.613418,-72.426427
01346,21,0.04,533,42.693275,-72.823113
01347,0.58,0.09,166,42.559294,-72.518753
01349,7.67,0.22,1091,42.563061,-72.482122
01350,10.72,0.11,121,42.727772,-72.985346
01351,20.93,0.43,2270,42.53988,-72.521689
01354,13.76,1.03,1500,42.624076,-72.508643
01355,47.38,13.77,878,42.458522,-72.327219
01360,34.28,1.09,3032,42.677091,-72.453876
01364,39.23,1.1,7969,42.615152,-72.289902
01366,40.41,0.56,1277,42.475621,-72.192468
01367,26.54,0.68,522,42.695532,-72.909148
01368,41.84,0.71,1261,42.679456,-72.176935
01370,49.82,0.54,4084,42.593338,-72.726941
01373,24.16,0.57,4600,42.473862,-72.615612
01375,14.23,0.52,3684,42.466762,-72.546855
01376,2.76,0.57,5247,42.59528,-72.555002
01378,34.02,0.31,774,42.673533,-72.353213
01379,30.21,0.37,813,42.55631,-72.407148
01420,30.32,0.69,40337,42.584925,-71.816862
01430,36.99,2.61,6089,42.657005,-71.923442
01431,23.7,0.39,3074,42.676293,-71.832523
01432,8.45,0.47,7089,42.566573,-71.575135
01434,5.28,0.15,1795,42.539088,-71.611613
01436,9.59,0.2,3336,42.603375,-72.088395
01438,0.54,0.02,559,42.562243,-72.031402
01440,24.04,0.96,20347,42.586516,-71.988062
01450,32.76,0.99,10646,42.61176,-71.565269
01451,19.13,0.65,4747,42.501908,-71.568201
01452,41.07,0.93,4382,42.489598,-72.002878
01453,28.47,0.53,40883,42.51996,-71.763075
01460,16.52,1,8924,42.535931,-71.490569
01462,26.48,1.26,10086,42.582607,-71.720464
01463,22.6,0.6,11497,42.670642,-71.602857
01464,15.01,0.08,7211,42.573654,-71.640986
01467,1.9,0.01,316,42.492367,-71.609303
01468,21.4,0.27,4021,42.542767,-72.068345
01469,22.88,0.23,6801,42.665059,-71.695333
01473,35.43,1.82,7277,42.5546,-71.90544
01474,9.92,0.03,2125,42.669685,-71.752751
01475,42.85,1.05,10270,42.66816,-72.055644
01501,15.45,0.93,16075,42.198708,-71.846006
01503,12.97,0.2,2866,42.384929,-71.633889
01504,11.08,0.32,9026,42.039991,-71.532406
01505,16.06,3.69,4355,42.355049,-71.716157
01506,15.55,1.05,3390,42.181793,-72.107473
01507,42.18,1.61,12981,42.133935,-71.968025
01510,5.65,1.61,13606,42.411887,-71.690005
01515,9.85,0.55,2183,42.209682,-72.040178
01516,36.76,1.55,8500,42.053072,-71.752241
01518,8.87,0.74,2974,42.127477,-72.118818
01519,10.91,0.11,6595,42.203404,-71.679739
01520,18.08,0.69,13997,42.336371,-71.850626
01521,12.29,0.77,2481,42.046798,-72.180149
01522,16.38,0.54,3310,42.375634,-71.867382
01523,25.2,0.44,7582,42.482819,-71.675513
01524,15.98,0.97,6696,42.249603,-71.919217
01525,0.45,0.03,290,42.106794,-71.630518
01527,15.57,0.72,13246,42.192246,-71.777649
01529,4.91,0.06,3190,42.036642,-71.578779
01531,20.79,0.16,999,42.319125,-72.130814
01532,18.48,0.27,14155,42.323342,-71.646236
01534,8.76,0.13,5631,42.142074,-71.643348
01535,21.27,0.68,4680,42.267564,-72.066876
01536,8.34,0.29,6888,42.231309,-71.692642
01537,6.98,0.11,2248,42.158966,-71.897051
01540,19.35,0.79,11291,42.116168,-71.857369
01541,35.41,0.4,3413,42.454125,-71.87754
01542,4.03,0.16,2202,42.204251,-71.908907
01543,35.1,1.15,7973,42.388977,-71.970514
01545,20.74,1.05,35299,42.284767,-71.714228
01550,20.28,0.63,16719,42.059669,-72.03404
01560,3.57,0.1,4527,42.175395,-71.674223
01561,0.12,0,330,42.44397,-71.685583
01562,32.83,1.17,11688,42.247211,-71.991867
01564,30.63,1.07,7808,42.447924,-71.776045
01566,28.35,0.99,6294,42.103214,-72.079545
01568,21.44,0.23,7480,42.176525,-71.603588
01569,29.08,0.61,13569,42.055892,-71.631294
01570,12.37,2.23,16767,42.047532,-71.846952
01571,20.82,1.05,11390,42.053778,-71.935075
01581,20.58,0.86,18272,42.268426,-71.613309
01583,12.61,0.91,7591,42.369417,-71.785036
01585,25.55,0.64,4554,42.240795,-72.162644
01588,8.61,0.64,9733,42.119228,-71.671821
01590,32.01,1.61,8875,42.132051,-71.750318
01602,5.77,0.24,22819,42.271563,-71.849991
01603,4.51,0.13,19916,42.244637,-71.843925
01604,6.44,0.18,34677,42.253254,-71.767957
01605,5.64,0.13,26221,42.289683,-71.787793
01606,5.93,0.01,19077,42.315249,-71.795741
01607,3.17,0.05,8351,42.22596,-71.78891
01608,0.45,0,3888,42.26198,-71.801462
01609,3.82,0.02,22421,42.285114,-71.829987
01610,2.13,0,23945,42.247049,-71.808366
01611,3.44,0.25,2242,42.237604,-71.875838
01612,15.32,0.77,4845,42.296636,-71.929607
01701,16.96,0.7,31217,42.320169,-71.440409
01702,8.09,0.76,37206,42.282576,-71.43676
01718,0.05,0,469,42.519816,-71.429283
01719,10.29,0.12,4996,42.485985,-71.520985
01720,19.71,0.43,21361,42.483953,-71.438495
01721,12.33,0.54,16593,42.257755,-71.473526
01730,13.7,0.18,13221,42.499331,-71.281905
01731,0.79,0,1396,42.456748,-71.279484
01740,19.95,0.13,4897,42.439937,-71.601876
01741,15.26,0.25,4852,42.53662,-71.361832
01742,24.44,1.31,17726,42.462911,-71.364496
01745,0.4,0,397,42.293073,-71.499163
01746,18.64,0.41,13547,42.195951,-71.45343
01747,5.17,0.17,5911,42.12408,-71.533416
01748,26.26,1.63,14925,42.224104,-71.540484
01749,11.52,0.34,19063,42.389071,-71.545864
01752,20.87,1.24,38499,42.349618,-71.547214
01754,5.21,0.16,10106,42.425955,-71.456256
01756,17.77,0.21,5839,42.09447,-71.544902
01757,14.88,0.27,28061,42.158692,-71.521419
01760,14.81,1,32786,42.284822,-71.348811
01770,15.82,0.37,4119,42.23357,-71.37469
01772,13.62,1.51,9370,42.302877,-71.530828
01773,13.62,0.77,5112,42.425506,-71.310811
01775,17.31,0.67,6590,42.429688,-71.512514
01776,24.24,0.48,17659,42.383367,-71.42107
01778,15.21,0.8,13109,42.343686,-71.381186
01801,12.65,0.31,38903,42.488659,-71.154425
01803,11.7,0.13,24487,42.503227,-71.201713
01810,30.85,1.32,33201,42.648044,-71.161751
01821,16.57,0.4,30310,42.549329,-71.251724
01824,17.75,0.39,24911,42.59079,-71.355182
01826,20.63,0.66,29422,42.679723,-71.30068
