GLM Variable,Variable Level,Factor_M
mb_item_cnt3,b01>1+LR,1.019457542
mb_item_cnt3,14> 1,2.080712844
mb_item_cnt3,15> 2,1.465979946
mb_item_cnt3,16> 3,1.247816032
mb_item_cnt3,17> 4,1.117325466
mb_item_cnt3,18> 5,1.043924523
mb_item_cnt3,19> 6,0.921589618
mb_item_cnt3,20> 7,0.929745279
mb_item_cnt3,21> 8,0.911395043
mb_item_cnt3,22> 9-10,0.860422166
mb_item_cnt3,23>11-13,0.668764148
mb_item_cnt3,24>14-17,0.724834313
mb_item_cnt3,25>18-24,0.633083134
mb_item_cnt3,26>25+,0.526040092
