den_factor,Min,Max
1,0,46417
1,46420,51470
2,51473,55379
2,55380,58681
3,58682,62564
3,62565,65490
4,65491,68664
4,68665,71675
5,71682,74772
5,74773,78107
6,78108,8.15E+04
6,81504,85058
7,85060,89475
7,89481,92926
8,92928,97700
8,97749,103638
9,103647,110043
9,110055,120152
10,120159,135392
10,135400,1E+20
99,-2,-1
