ZIP_Code,zip5_HH,HO_ins,Veh_ins,health_ins,pl_pension,life_ins,end_ann,vac_home,airline,funeral,hoeql_int,mortg_int
49802,2769,372.6,1019.5,2386.3,5334,320.4,301.3,259.4,338.3,79.5,46.9,3106.3
49805,277,413.2,1065,2559.5,5824.9,355.2,333.9,297.7,376.9,87.3,50.3,3306.1
49806,385,407.1,1057.6,2533.4,5612.7,346.3,325.6,286.9,359.4,87,50.9,3329.4
49807,1409,420,1096.3,2603.3,6319.3,369.1,346.9,315.6,409.4,85.1,53.2,3446.3
49808,0,,,,,,,,,,,
49812,406,387.9,1038.6,2485.2,5264.7,330.2,310.6,267.1,338.1,85.4,45.5,2982.8
49814,506,415.3,1078.1,2592.3,5822,356.5,335.4,299.1,376,89.3,50.2,3150.4
49815,187,419.3,1082.2,2602.5,5861.2,360,338.6,300.8,376.5,86.7,50.9,3301.1
49816,217,412.7,1067.5,2557,5661.9,347.3,326.6,286.7,356.9,88.1,51.6,3283.9
49817,147,413.1,1062.8,2616.2,5416,351,330.1,289.2,356.5,95,46.4,2952.3
49818,423,432.3,1112.9,2654.1,6422.9,377.4,354.7,320.6,406.6,84.6,56.3,3612.1
49820,250,393.1,1036.5,2529.8,5116,332.8,313,267,332.4,90.3,45.6,2981.6
49821,442,399.3,1055.8,2531.1,5470.6,338.9,318.6,276.2,348.4,87.7,48.2,3117.5
49822,134,408.9,1060.6,2540,5652.3,348.2,327.4,289,361.3,86.8,51.3,3355.2
49826,1,412.9,1068.4,2557.7,5666.9,347.1,326.3,286.5,356.8,88.1,51.5,3276.2
49827,338,392.5,1033.6,2533.1,5057.8,332.3,312.6,266,330.9,91.3,44.9,2925.1
49829,7350,363.3,1012.7,2391.1,5339.4,320,300.6,264.1,347.9,84.7,44.3,2891.6
49831,394,437.6,1120.1,2676.1,6653.5,386.6,363.3,335.2,434.2,87.1,55.9,3577
49834,207,436.7,1118.2,2663.9,6676,386,362.8,335.4,433.9,85.9,56,3592
49835,317,412.3,1060.8,2611.8,5384.6,349.9,329,287.9,354.2,95,46.2,2937.7
49836,317,395.6,1041.3,2534.1,5261.5,338,318,274.4,341.4,89.9,46.6,3016.5
49837,4115,415.2,1096.3,2598.2,6416.9,367.6,345.2,313.3,413.5,85.5,54.1,3493.1
49838,251,396.6,1040.5,2554.8,5128.1,337.5,317.3,271.5,336.4,91.9,45.2,2957.4
49839,0,,,,,,,,,,,
49840,435,413.3,1063.5,2576.1,5717.3,355,333.9,297.5,370,90.3,51.3,3274.3
