ZIP_Code,zip5_pop,zip5_HH,pop_growth,hh_avg_size,hh_med_age,med_rent,med_value,med_vehicles,med_income,avg_income,percap_income,pop_med_age,income_200k,high_inc_avg
61027,51,20,-1.67,2.49,55.1,455,119455,2.4,51953,58224,23428,45.6,0,0
61028,1962,858,-0.7,2.24,58.6,360.41,135295,2.4,57272,71309,31854,50.4,4.79,285020
61030,1996,783,-2.99,2.54,54.8,531.66,114741,2.6,62034,69957,27353,42.1,1.38,238940
61031,1677,612,-2.91,2.54,54,533.72,111844,2.6,64904,77518,30640,42.9,5.3,272789
61032,31383,13324,-2.7,2.3,54.8,504.73,90579,2,50534,61604,27149,43.6,1.74,182088
61036,6678,3025,-0.86,2.18,57.7,588.72,191862,2.4,71080,85306,39130,50.9,6.35,235101
61037,0,0,,,,,,,,,,,,
61038,1369,495,-0.32,2.73,54,553.84,211470,2.6,80711,93583,33175,41.2,6.69,336087
61039,848,333,-1.16,2.53,53.4,569.76,116288,2.6,62673,69338,27582,43.2,1.25,236501
61041,1270,571,-1.42,2.21,57.7,326.62,108665,2.3,60974,78457,35545,49.5,3.01,610084
61042,453,173,-2.62,2.6,56.2,382.64,116519,2.5,59811,69138,26703,45,0.9,501860
61043,0,0,,,,,,,,,,,,
61044,270,100,-1.54,2.52,53.8,434.9,123421,2.4,57013,69352,27625,45.1,2.23,340781
61046,3135,1355,-3.35,2.3,57.4,490.89,121277,2.4,63137,73352,32016,48.8,3.49,327909
61047,1712,716,-1.86,2.4,55.5,593.4,144207,2.7,68197,75413,30936,45.9,2.72,230784
61048,4130,1671,-1.72,2.46,55.6,370.32,122337,2.4,57258,69367,28269,43.4,2.11,345808
61049,543,192,-1.01,2.84,50.8,544.01,162153,2.6,73098,83001,29398,37.8,1.69,567242
61050,343,136,-2.56,2.58,56.8,419.27,109999,2.5,60402,66412,25947,46.7,1.11,258047
61051,1530,659,-2.49,2.35,55.5,378.72,90695,2.5,62425,73254,31272,45.2,3.48,244890
61052,1075,389,-2.46,2.77,50.7,509.84,166065,2.6,78720,87069,30903,37.8,2.63,370972
61053,2842,1195,-4.09,2.27,56.4,427.49,101281,2.3,56314,81096,35276,47.4,4.1,455576
61054,4045,1755,-3.59,2.27,55.4,477.14,101784,2.1,43701,59917,26380,44.1,2.3,267311
61057,0,0,,,,,,,,,,,,
61060,1430,588,-2.78,2.44,54,425.37,107507,2.5,60667,69410,28542,42.6,1.93,285843
61061,6872,2906,-2.82,2.29,56.2,573.28,138717,2.3,63381,72719,31443,46,3.63,239090
61062,1962,736,-2.29,2.61,53.2,420.08,129228,2.4,60892,68152,26090,42.3,1.4,175960
61063,4762,1832,-2.44,2.59,53.5,523.39,143973,2.4,69010,79237,30685,40.7,4.06,232497
61064,3677,1500,-3.05,2.4,55.7,497.2,107356,2.4,59398,76008,32031,43.7,4.16,288586
61065,10948,3506,0.3,3.11,50.1,877.49,164516,2.6,76438,90713,29473,35.4,4.94,368691
61067,809,318,-2.21,2.55,55.6,465.08,114141,2.6,60184,81676,31912,46.4,12.44,243644
61068,14848,5688,-2.54,2.59,52.6,596.22,146242,2.3,59980,69630,27330,37.9,2.33,204631
61070,1038,405,-1.15,2.58,54.3,508.62,122321,2.5,66895,84766,32835,44.1,4.25,348645
61071,13893,5678,-2.71,2.43,55.4,484.95,90581,2.1,50016,59682,24502,42.3,1.46,294376
