den_factor,Min,Max
1,0,1248.9
1,1249,1337.6
2,1337.7,1401.9
2,1402,1446.5
3,1446.6,1481.9
3,1482,1514.3
4,1514.4,1543.3
4,1543.4,1572.1
5,1572.2,1602
5,1602.1,1630.6
6,1630.7,1661.9
6,1662,1692.4
7,1692.5,1727.7
7,1727.8,1767.5
8,1767.6,1805.5
8,1805.6,1845.2
9,1845.3,1891.8
9,1891.9,1965.3
10,1965.4,2068.2
10,2068.3,1E+22
99,-2,-1
