ZIP_Code,zip5_HH,charity,church,education,political,assets,savings,checking,USbond,securities,coll_tuition,elem_HS,other_gift
01096,837,321.6,830.1,75.4,12,93503,14176.1,27519.6,584,51866.9,1004.5,205.1,574.9
01098,449,310.7,829.8,71,12,86407.3,13939.5,24180.8,560.7,48241.6,986,193.4,581.5
01101,0,,,,,,,,,,,,
01103,1500,134.4,504.6,26.7,5.1,38281.7,8296.9,8263.6,263.6,22057.3,749.8,79.3,353.7
01104,8892,168.1,626,34.4,6.8,41941.5,9249.5,8493.2,308.4,24332,719.5,117.6,419.4
01105,5611,116.7,497.9,22.8,4.6,32582,7518.5,6510.5,233.5,18849.8,678.9,78.1,315.2
01106,5929,443,922.6,112.4,14.9,149303.3,18985.7,51910,804.7,78871.1,1437,281,694.2
01107,3991,149.8,548.6,30.5,5.9,40637.5,8723.5,8557.6,286.4,23595.5,731.9,106.8,371.1
01108,9844,181.3,635.4,39,6.8,50302.7,10297.8,12224.5,331.6,27932.7,852.8,130,428.9
01109,9704,117.8,638.7,24.7,4.7,29444,7357.6,5991.5,232,16393.6,617.6,96.6,310.2
01111,0,,,,,,,,,,,,
01116,0,,,,,,,,,,,,
01118,5798,249.6,776.6,56.1,9.6,67565.2,12209.5,17816.8,445.2,37429.5,919.4,171.2,519.9
01119,4981,196.6,724.5,43.1,7.9,50902.1,10136.7,12293.3,356.4,28483.2,779.4,138.7,446.4
01128,1071,264.7,825.1,60,10.6,70421.1,12769.6,18371.9,464.4,39078.8,962.5,181,538.2
01129,2889,242.6,781.8,54.6,9.3,65600.8,11900.1,17297.2,439.2,36357.2,896.3,165.6,501.8
01138,0,,,,,,,,,,,,
01139,0,,,,,,,,,,,,
01144,0,,,,,,,,,,,,
01151,3554,176.7,625.7,38.2,6.6,48639.8,9505.5,11859.5,328.9,27429.6,771.6,125.2,400.7
01152,0,,,,,,,,,,,,
01199,0,,,,,,,,,,,,
01201,20605,235.6,702.6,52.2,9.4,64258.9,11509.1,16399.6,425.4,36409.7,842.5,150.8,506.7
01202,0,,,,,,,,,,,,
01220,3847,224.9,690.6,48,9.2,57549.9,11068.1,13243.6,397.9,33226.3,782.9,139.4,511.9
01222,153,281,798.9,63.1,11.4,74817.4,12986,19326.1,497.7,42318.2,919.4,189.7,557.9
01223,1165,295.8,810.9,67.3,11.2,81156.6,13237.1,22517.3,533.6,45444.7,938.5,189.2,559.8
01224,49,323.4,828.4,77,11.8,95785.3,14233,28995.9,589.6,52776.3,1026.2,210.9,567.4
01225,1337,284.3,786.5,64.6,10.7,78122.9,12722.9,21685.1,505.4,43818.6,901.8,181.1,551.9
01226,2553,262.1,750.4,59.2,10.2,71840.9,12381.9,18987.9,473.3,40536.3,872.7,173.5,541.7
01227,0,,,,,,,,,,,,
01229,179,305.3,795.1,70.6,11.6,88579.7,13800.7,25403.7,559.3,49522.4,938.9,173.9,594.3
01230,3343,304.2,768.2,71.6,11.4,91963.2,13933.1,27516.6,560.3,50707.8,997.7,180.7,567.5
01235,1124,282.2,808,63.4,11.2,74475.9,12954.3,19149.8,497.2,42173.9,911.6,187.3,557.1
01236,748,288.7,768.4,66,11.1,81540,13291.3,22893.5,517.9,45422.6,935.9,175.8,566.5
01237,872,319.6,823.2,75.9,11.9,93749,14141.1,28036.9,578.6,51719.8,1016.6,206.8,571
01238,2512,278,755.6,63.7,10.9,79069,13133,21798.3,500.5,44196.3,919.6,172.4,560.2
01240,2268,268.7,734.8,61.1,11.1,75148.2,12637.4,20426.4,473.1,42284.2,872.2,154.9,590.4
01242,166,382.8,865.9,94.9,13.9,122660,16584.1,40123.5,708.5,66370.3,1204.7,232.3,632.3
01243,92,312,831.8,71.3,12,86763.5,13981.5,24315,562.9,48426.5,987.8,193.5,583.4
01245,395,308.1,811.9,70.9,11.8,86677.5,13651.1,24784.8,554,48349.7,923.8,181.7,583.8
01247,6740,213.9,671.8,45.3,8.9,54374.7,10724.2,12106.5,377.9,31524.1,789.9,135.9,494
01252,0,,,,,,,,,,,,
01253,302,354.2,850.8,85.9,12.1,108864.4,15221.7,34662.4,647.9,59412.6,1089,213.5,591.3
01254,420,405,902.7,100.6,14.4,128961.1,16758.4,42827.8,737.2,69905.2,1169.7,234.9,648.7
01255,381,298.3,816.1,68,11.2,81473.8,13344,22562.9,531.1,45616.2,923.3,188.6,575.2
01256,304,272.6,794,60.4,10.9,69627.1,12324.6,17618.7,481,39543.7,872.7,177.9,548.5
01257,1069,300.8,789.7,69.9,11.7,86876.2,13634.3,24968.2,547.9,48377.1,946.3,183.3,571.2
01258,385,295.1,804.3,66.9,11.9,80159.4,13226.6,21827.8,520.8,45107.8,904,174.6,594.4
01259,296,321.4,835.1,75.4,11.9,92861.7,14294.7,27231.2,585,51495.8,990.1,203.9,585.7
01260,0,,,,,,,,,,,,
01262,361,233.6,675.2,50.1,9.5,63941.1,11699.6,15716.8,425.4,36526.4,790.3,124.4,540.3
01264,56,394.9,911.3,96.4,14.2,121726.5,16464,39282.9,710,66403.1,1108.3,216.8,660.2
01266,641,341.9,837.8,81.2,12.7,102439.4,14952.2,31396.5,614,56298,1051.4,196.9,621.3
01267,2684,343.4,817.8,83.1,12.8,106263.8,15159.9,33468,613.8,57855.1,1093.1,203,618.3
01270,286,338.1,862.1,80,12.7,98534.8,14873.3,29246.5,613.8,54419.9,1060.3,220.3,586.2
01301,8225,229.9,689.8,49.9,9.2,62530.3,11534.8,15118.7,417.2,35798.4,833.1,146.1,512.3
01302,0,,,,,,,,,,,,
01330,654,321.6,817.5,75.3,12.6,93329.4,14138.2,27364.3,573.7,51768.8,1007.4,196.7,590.2
01331,4574,252.5,748.2,56,10.2,66352.9,12097.4,16286.3,446.1,37817.6,883.1,171.1,528.4
01337,931,281,800.7,62.8,11.1,73698.7,12761.1,19038.7,494.7,41794,893.1,182.5,567.4
01338,127,329.1,831.2,77.7,12.8,95271.7,14375.9,28076.5,586.9,52757.6,1013.2,203.6,589.1
01339,588,281.5,783.2,63.6,11.2,76152.2,12751.6,20337.1,495.3,42964.9,896.7,173.9,568.8
01340,673,288.9,794.6,66.1,11.2,79367.2,12930.7,21831,511,44548,917.6,181.5,567.5
01341,759,332.5,846.3,78.4,12.7,96600.8,14601,28389.1,595,53506.4,1063,216.5,588.8
01342,450,341.7,847.6,81.5,12.9,102124.1,15292.5,30616.4,604.8,56173,1097.7,219.6,609.1
01343,94,257.5,783,56.2,10.2,63627.3,11597.7,15527.8,442.5,36438.7,840.2,176.7,535.6
01344,726,261,763.4,57.8,10.6,68396.9,12190.8,17076.1,470.6,38953.2,849.7,172.8,538.2
01346,115,283.5,784.3,64.2,11.2,76992.8,12715.7,20813.2,505.2,43404.7,895.4,174.1,564.5
01347,152,251.5,756.3,54.4,10.3,63932.2,11982.2,14974.5,444.1,36662.8,840.7,166.4,531.8
01349,327,238.5,733.1,51.1,9.7,60827.9,11904.2,13558.8,423,35021.6,873.9,162.2,515.2
01350,25,254.5,750.9,55.8,10.2,65765.4,11722.1,16241.8,444.1,37674.7,829.4,158.5,546.2
01351,898,262.8,760.8,58,10.6,69473.3,12370.5,17370.4,464.3,39489.2,882.1,168.9,545.2
01354,546,310.3,818.2,72,12.1,88248.9,13976.6,24968.8,554.7,49232.5,993.1,197.2,589.3
01355,314,284.3,803.4,64.1,11,76969.4,13154.4,20257.6,508.7,43352.7,962.6,193.8,552.9
01360,1194,299.8,809.2,69.5,11.8,83993.1,13643.4,23216.9,530.9,47029.8,971.4,199,576.5
01364,3180,227.2,709.1,48.6,9.3,57142.6,11135.8,12852.6,402.6,33058.8,794.8,152.3,517.2
01366,494,323.4,826,76.2,12.1,94676.2,14299.2,28164.4,582.9,52312.7,1024.9,206.7,581
01367,235,255.1,751.4,55.9,10.2,66002.5,11753.3,16329.3,444.9,37792.4,831.3,158.9,547
01368,533,287.8,802.8,65.6,11.3,78815.2,13347.5,20987.1,515.1,44323.2,965,195,554.7
01370,1757,282.9,759.3,64.7,11.4,80553.4,13195.2,22173.5,509,45115.8,925.5,170.7,566.8
01373,2203,296.6,788.6,68.5,11.4,85266,13642.9,24133.3,528.7,47415.5,975.8,187.5,573.6
01375,1670,266.6,687.9,62.2,9.5,85519.6,13640.9,25319.2,489.7,46471.5,1151.7,163.4,520.4
01376,2322,220.6,662.2,47.8,9,60089.8,11116.9,14518.5,401.2,34472.9,802.8,135.6,500.7
01378,301,275.8,796.1,61.2,11,72275.1,12604.1,18267.6,488.1,41154.9,907.4,181.8,560
01379,322,269.8,767.4,59.9,10.8,71882.6,12397.1,18690.3,487.1,40583.4,907.6,166.2,541.7
01380,47,274.7,773.8,61.3,10.9,74006,12612.1,19461.1,493.1,41717.4,928.3,170.2,549
01420,15184,234.4,695.4,52.3,9.1,65853.7,11939.7,17039.3,423.3,36901.4,913.3,158.7,497.5
01430,1981,357.1,875.4,86.9,13,108488.2,15705.6,33574.6,652.6,59274,1163.3,246.6,580.1
01431,1108,350.8,878.6,84.9,12.7,104655.5,15361.2,31984.2,637.7,57378.3,1123.7,247.3,580.6
01432,3179,303.2,763.2,73,10.8,96558.9,14672,30134.1,558.5,51842.5,1141.6,202.3,551
01434,145,336.5,809.3,81.4,12.1,107801,16388.3,33857.5,611.6,57435.8,1301.5,228.6,597.8
01436,1163,291.7,803.7,67.6,11.5,81446.7,13545.2,21990.3,521.6,45722.7,954.8,200,554.6
01438,0,,,,,,,,,,,,
01440,8667,244.2,707.8,54.8,9.5,68673.8,12109.5,17861.8,440.9,38730,885.2,159.1,516.1
01441,0,,,,,,,,,,,,
01450,3573,483,944.6,126.1,15.5,171078.8,20393.9,61161,915.8,90183.6,1558.8,322.8,652.4
01451,1873,549.2,998.2,144.9,17.1,199649.6,22588.4,73471.5,1040.9,104404.4,1734.7,342.2,710.1
01452,1573,351.4,875.4,85.1,12.8,105205,15443.7,32155.6,640.6,57689.5,1136.7,247.1,577.5
01453,17230,264.3,741.7,61,10,77239.9,13021.5,21463.4,476.9,42760.1,972.7,177.1,523.5
01460,3483,431.2,902.7,109.4,14.6,145347.7,18736.4,50044.3,791.8,76847.7,1447.3,287.4,647.8
01462,3918,366.7,877.9,89.6,13.4,112892.8,16093.6,35542.8,666.2,61368.6,1169.9,239.9,612.1
01463,4430,389.1,880.8,97.5,13.6,126862.6,17063.9,41734,723.4,68338,1273.2,264.5,599.3
01464,2523,312.8,807,73.8,11.5,93691.3,14861.3,27807.8,560.2,50994.4,1136.7,214.8,576.7
01468,1662,307.1,829.4,72,12.1,85485.3,13903.9,23886.6,542.1,47582.7,1037.6,216.6,555.1
01469,2530,355.4,868.7,86.9,12.9,109677.7,15921.6,33972,652.8,59825.2,1181.3,248.1,582.3
01471,0,,,,,,,,,,,,
01472,0,,,,,,,,,,,,
01473,2803,335.6,867.5,80.2,13,97463.6,15084.9,28344,601.6,53886.7,1089.5,230.9,585.8
01474,860,382.5,883.9,95.5,13.1,123480.1,16543.9,40569.7,718.3,66762.1,1223.1,260.9,585.3
01475,3883,279.5,777.2,64.5,10.9,78862.6,13291.1,21277.1,503.4,44164.7,970.7,194.7,533
01501,6411,330.6,832.5,78.9,12.6,97990,14896.7,29379.6,591.8,53726,1066.4,214.1,599.9
01503,1151,423.5,914.2,107.4,14.8,140101.3,17964.5,47466.6,777.7,75111.9,1297.2,263.4,649.1
01504,3402,322.5,814.4,77.9,11.8,98837.5,14752.7,29842.1,589.1,54295,1073.3,219.4,553.9
01505,1457,436.8,909.4,111.1,14.2,149128.2,18775.6,51686.7,812.6,79110.2,1409.3,275.9,648.9
01506,1393,284.4,800.8,64.6,11.3,75988,12888.9,19941.1,494,42981.1,907.5,187.2,558.5
